Station,10-17,18-24,25-40,41-59,60+,Unknown,Total
KOSCIUSKO STREET,0,11,16,2,1,0,30
J,0,11,16,2,1,0,30
LAFAYETTE AVENUE,0,2,8,2,0,0,12
C,0,2,8,2,0,0,12
LIBERTY AVENUE,1,7,18,5,0,0,31
C,1,7,18,5,0,0,31
LIVONIA AVENUE,1,18,31,10,3,0,63
L,1,18,31,10,3,0,63
LORIMER STREET,3,43,102,9,1,0,158
"J,M",0,9,11,1,0,0,21
L,3,34,91,8,1,0,137
MARCY AVENUE,0,68,99,12,1,0,180
"J,M,Z",0,68,99,12,1,0,180
METROPOLITAN AVENUE,0,15,34,2,0,0,51
G,0,15,34,2,0,0,51
MONTROSE AVENUE,0,16,22,8,0,0,46
L,0,16,22,8,0,0,46
MORGAN AVENUE,0,13,24,2,0,0,39
L,0,13,24,2,0,0,39
MYRTLE AVENUE,0,8,20,4,0,0,32
"J,M,Z",0,8,20,4,0,0,32
MYRTLE/WYCKOFF AVENUES,7,269,362,99,5,1,743
L,7,269,362,99,5,1,743
MYRTLE-WILLOUGHBY AVENUES,1,34,33,8,2,1,79
G,1,34,33,8,2,1,79
NASSAU AVENUE,0,12,21,9,1,0,43
G,0,12,21,9,1,0,43
NECK ROAD,0,0,3,0,0,0,3
Q,0,0,3,0,0,0,3
NEPTUNE AVENUE,0,0,1,1,0,0,2
F,0,0,1,1,0,0,2
NEVINS STREET,1,10,25,15,2,0,53
"2,3,4,5",1,10,25,15,2,0,53
NEW LOTS AVENUE,2,3,17,10,0,0,32
3,1,3,11,5,0,0,20
L,1,0,6,5,0,0,12
NEW UTRECHT AVENUE,0,1,1,2,0,0,4
N,0,1,1,2,0,0,4
NEWKIRK AVENUE,0,14,23,4,0,0,41
"2,5",0,13,23,4,0,0,40
"B,Q",0,1,0,0,0,0,1
NORWOOD AVENUE,0,1,1,0,0,0,2
"J,Z",0,1,1,0,0,0,2
NOSTRAND AVENUE,3,63,131,30,2,0,229
3,0,3,12,3,0,0,18
"A,C",3,60,119,27,2,0,211
OCEAN PKWY,0,1,4,0,0,0,5
Q,0,1,4,0,0,0,5
PACIFIC STREET,0,7,18,5,0,0,30
"D,N,R",0,7,18,5,0,0,30
PARKSIDE AVENUE,0,7,11,0,0,0,18
Q,0,7,11,0,0,0,18
PENNSYLVANIA AVENUE,2,7,10,6,0,0,25
3,2,7,10,6,0,0,25
PRESIDENT STREET,0,1,2,0,0,0,3
"2,5",0,1,2,0,0,0,3
PROSPECT AVENUE,0,8,6,3,0,0,17
R,0,8,6,3,0,0,17
PROSPECT PARK,0,35,38,8,0,1,82
"B,Q,S",0,35,38,8,0,1,82
RALPH AVENUE,0,11,34,3,0,0,48
C,0,11,34,3,0,0,48
ROCKAWAY AVENUE,2,31,55,17,0,0,105
3,1,9,13,6,0,0,29
C,1,22,42,11,0,0,76
ROCKAWAY PKWY-CANARSIE,1,7,11,6,0,0,25
L,1,7,11,6,0,0,25
SARATOGA AVENUE,2,21,20,9,1,0,53
3,2,21,20,9,1,0,53
SENECA AVENUE,0,4,5,2,0,0,11
M,0,4,5,2,0,0,11
SHEEPSHEAD BAY,1,24,34,7,0,0,66
"B,Q",1,24,34,7,0,0,66
SHEPHERD AVENUE,0,5,7,2,1,0,15
C,0,5,7,2,1,0,15
SMITH-9 STREETS,1,26,37,21,1,0,86
"F,G",1,26,37,21,1,0,86
STERLING STREET,0,11,21,6,1,0,39
"2,5",0,11,21,6,1,0,39
STILLWELL AVENUE-CONEY ISLAND,3,47,153,48,7,0,258
"D,F,N,Q",3,47,153,48,7,0,258
SUTTER AVENUE,1,21,35,9,2,0,68
L,1,21,35,9,2,0,68
SUTTER AVENUE-RUTLAND ROAD,2,15,31,9,1,0,58
3,2,15,31,9,1,0,58
UNION STREET,0,4,4,1,0,0,9
R,0,4,4,1,0,0,9
UTICA AVE.-CROWN HEIGHTS,4,66,98,31,2,1,202
"3,4",4,66,98,31,2,1,202
UTICA AVENUE,1,37,56,13,1,0,108
"A,C",1,37,56,13,1,0,108
VAN SICLEN AVENUE,1,26,28,9,0,0,64
3,0,7,13,3,0,0,23
C,0,14,10,4,0,0,28
"J,Z",1,5,5,2,0,0,13
WEST 8 STREET-NY AQUARIUM,0,0,4,1,0,0,5
"Q,F",0,0,4,1,0,0,5
WILSON AVENUE,2,24,46,3,0,1,76
L,2,24,46,3,0,1,76
WINTHROP STREET,1,9,17,4,1,0,32
"2,5",1,9,17,4,1,0,32
WYCKOFF AVENUE,0,1,6,0,0,0,7
M,0,1,6,0,0,0,7
YORK STREET,0,1,2,1,0,0,4
F,0,1,2,1,0,0,4
1 AVENUE,1,16,29,5,0,0,51
L,1,16,29,5,0,0,51
103 STREET,0,6,13,6,0,1,26
1,0,3,6,3,0,1,13
6,0,3,6,2,0,0,11
"B,C",0,0,1,1,0,0,2
